咪咕直播,#genre#
CCTV-1综合,http://8.138.7.223/tv/migu666.php?id=cctv1
CCTV-2财经,http://8.138.7.223/tv/migu666.php?id=cctv2
CCTV-3综艺,http://8.138.7.223/tv/migu666.php?id=cctv3
CCTV-4中文国际,http://8.138.7.223/tv/migu666.php?id=cctv4
CCTV-4欧洲,http://8.138.7.223/tv/migu666.php?id=cctv4m
CCTV-4美洲,http://8.138.7.223/tv/migu666.php?id=cctv4o
CCTV-5体育,http://8.138.7.223/tv/migu666.php?id=cctv5
CCTV-5+体育赛事,http://8.138.7.223/tv/migu666.php?id=cctv5p
CCTV-6电影,http://8.138.7.223/tv/migu666.php?id=cctv6
CCTV-7国防军事,http://8.138.7.223/tv/migu666.php?id=cctv7
CCTV-8电视剧,http://8.138.7.223/tv/migu666.php?id=cctv8
CCTV-9纪录,http://8.138.7.223/tv/migu666.php?id=cctv9
CCTV-10科教,http://8.138.7.223/tv/migu666.php?id=cctv10
CCTV-11戏曲,http://8.138.7.223/tv/migu666.php?id=cctv11
CCTV-12社会与法,http://8.138.7.223/tv/migu666.php?id=cctv12
CCTV-13新闻,http://8.138.7.223/tv/migu666.php?id=cctv13
CCTV-14少儿,http://8.138.7.223/tv/migu666.php?id=cctv14
CCTV-15音乐,http://8.138.7.223/tv/migu666.php?id=cctv15
CCTV-17农业农村,http://8.138.7.223/tv/migu666.php?id=cctv17
CCTV发现之旅,http://8.138.7.223/tv/migu666.php?id=fxzl
CCTV老故事,http://8.138.7.223/tv/migu666.php?id=lgs
CCTV中学生,http://8.138.7.223/tv/migu666.php?id=zxs
CGTN,http://8.138.7.223/tv/migu666.php?id=cgtn
CGTN纪录,http://8.138.7.223/tv/migu666.php?id=cgtnjl
CCTV西班牙语,http://8.138.7.223/tv/migu666.php?id=cgtne
CCTV法语,http://8.138.7.223/tv/migu666.php?id=cgtnf
CCTV阿拉伯语,http://8.138.7.223/tv/migu666.php?id=cgtna
CCTV俄语,http://8.138.7.223/tv/migu666.php?id=cgtnr
东方卫视,http://8.138.7.223/tv/migu666.php?id=dfws
重庆卫视,http://8.138.7.223/tv/migu666.php?id=cqws
吉林卫视,http://8.138.7.223/tv/migu666.php?id=jlws
辽宁卫视,http://8.138.7.223/tv/migu666.php?id=lnws
内蒙古卫视,http://8.138.7.223/tv/migu666.php?id=nmws
宁夏卫视,http://8.138.7.223/tv/migu666.php?id=nxws
甘肃卫视,http://8.138.7.223/tv/migu666.php?id=gsws
青海卫视,http://8.138.7.223/tv/migu666.php?id=qhws
陕西卫视,http://8.138.7.223/tv/migu666.php?id=sxws
山东卫视,http://8.138.7.223/tv/migu666.php?id=sdws
河南卫视,http://8.138.7.223/tv/migu666.php?id=hnws
湖北卫视,http://8.138.7.223/tv/migu666.php?id=hubws
