央视频道,#genre#
CCTV1,http://113.95.138.226:8888/rtp/239.77.1.144:5146$1920×1080
CCTV1,http://113.95.138.226:8888/rtp/239.77.0.14:5146$720×576
CCTV1,http://113.95.138.226:8888/rtp/239.77.0.129:5146$1920×1080
CCTV1,http://113.95.138.226:8888/rtp/239.77.0.119:5146$1920×1080
CCTV1,http://113.95.138.226:8888/rtp/239.77.1.17:5146$1920×1080
CCTV1,http://113.95.138.226:8888/rtp/239.77.0.30:5146$720×576
CCTV1,http://113.95.138.226:8888/rtp/239.77.0.86:5146$1920×1080
CCTV2,http://113.95.138.226:8888/rtp/239.77.0.137:5146$1920×1080
CCTV2,http://113.95.138.226:8888/rtp/239.77.1.158:5146$1920×1080
CCTV3,http://113.95.138.226:8888/rtp/239.77.0.32:5146$720×576
CCTV3,http://113.95.138.226:8888/rtp/239.77.0.169:5146$1920×1080
CCTV3,http://113.95.138.226:8888/rtp/239.77.1.7:5146$1920×1080
CCTV4,http://113.95.138.226:8888/rtp/239.77.0.33:5146$720×576
CCTV4,http://113.95.138.226:8888/rtp/239.77.1.166:5146$1920×1080
CCTV4,http://113.95.138.226:8888/rtp/239.77.0.78:5146$1920×1080
CCTV4,http://113.95.138.226:8888/rtp/239.77.1.163:5146$1920×1080
CCTV4欧洲,http://113.95.138.226:8888/rtp/239.253.43.120:5146$1920×1080
CCTV4美洲,http://113.95.138.226:8888/rtp/239.253.43.121:5146$1920×1080
CCTV5,http://113.95.138.226:8888/rtp/239.77.1.8:5146$1920×1080
CCTV5,http://113.95.138.226:8888/rtp/239.77.0.34:5146$720×576
CCTV5,http://113.95.138.226:8888/rtp/239.77.0.170:5146$1920×1080
CCTV5+,http://113.95.138.226:8888/rtp/239.77.1.31:5146$1920×1080
CCTV5+,http://113.95.138.226:8888/rtp/239.77.0.87:5146$1920×1080
CCTV6,http://113.95.138.226:8888/rtp/239.77.1.9:5146$1920×1080
CCTV6,http://113.95.138.226:8888/rtp/239.77.0.171:5146$1920×1080
CCTV6,http://113.95.138.226:8888/rtp/239.77.0.35:5146$720×576
CCTV7,http://113.95.138.226:8888/rtp/239.77.0.36:5146$720×576
CCTV7,http://113.95.138.226:8888/rtp/239.77.1.159:5146$1920×1080
CCTV7,http://113.95.138.226:8888/rtp/239.77.0.138:5146$1920×1080
CCTV8,http://113.95.138.226:8888/rtp/239.77.0.172:5146$1920×1080
CCTV8,http://113.95.138.226:8888/rtp/239.77.1.10:5146$1920×1080
CCTV8,http://113.95.138.226:8888/rtp/239.77.0.37:5146$720×576
CCTV9,http://113.95.138.226:8888/rtp/239.77.0.135:5146$1920×1080
CCTV9,http://113.95.138.226:8888/rtp/239.77.1.160:5146$1920×1080
CCTV9,http://113.95.138.226:8888/rtp/239.77.0.38:5146$720×576
CCTV10,http://113.95.138.226:8888/rtp/239.77.1.113:5146$1920×1080
CCTV10,http://113.95.138.226:8888/rtp/239.77.0.39:5146$720×576
CCTV10,http://113.95.138.226:8888/rtp/239.77.0.134:5146$1920×1080
CCTV11,http://113.95.138.226:8888/rtp/239.77.1.108:5146$1920×1080
CCTV11,http://113.95.138.226:8888/rtp/239.77.1.238:5146$1920×1080
CCTV11,http://113.95.138.226:8888/rtp/239.77.0.40:5146$720×576
CCTV12,http://113.95.138.226:8888/rtp/239.77.1.109:5146$1920×1080
CCTV12,http://113.95.138.226:8888/rtp/239.77.0.136:5146$1920×1080
CCTV12,http://113.95.138.226:8888/rtp/239.77.0.41:5146$720×576
CCTV13,http://113.95.138.226:8888/rtp/239.253.43.196:5146$1920×1080
CCTV13,http://113.95.138.226:8888/rtp/239.77.0.42:5146$720×576
CCTV13,http://113.95.138.226:8888/rtp/239.77.0.188:5146$1920×1080
CCTV14,http://113.95.138.226:8888/rtp/239.77.0.43:5146$720×576
CCTV14,http://113.95.138.226:8888/rtp/239.77.0.133:5146$1920×1080
CCTV14,http://113.95.138.226:8888/rtp/239.77.1.161:5146$1920×1080
CCTV15,http://113.95.138.226:8888/rtp/239.77.1.239:5146$1920×1080
CCTV15,http://113.95.138.226:8888/rtp/239.77.1.120:5146$1920×1080
CCTV15,http://113.95.138.226:8888/rtp/239.77.0.44:5146$720×576
CCTV16,http://113.95.138.226:8888/rtp/239.77.0.165:5146$1920×1080
CCTV17,http://113.95.138.226:8888/rtp/239.77.0.115:5146$720×576
CCTV17,http://113.95.138.226:8888/rtp/239.77.1.121:5146$1920×1080
CCTV17,http://113.95.138.226:8888/rtp/239.77.0.198:5146$1920×1080
CCTV4K,http://113.95.138.226:8888/rtp/239.77.1.180:5146$3840×2160
CCTV4K,http://113.95.138.226:8888/rtp/239.77.0.194:5146$3840×2160
CETV1,http://113.95.138.226:8888/rtp/239.77.1.222:5146$1920×1080
CETV1,http://113.95.138.226:8888/rtp/239.77.0.200:5146$1920×1080
CETV2,http://113.95.138.226:8888/rtp/239.77.0.28:5146$720×576
CETV4,http://113.95.138.226:8888/rtp/239.253.43.114:5146$1920×1080
CETV4,http://113.95.138.226:8888/rtp/239.253.43.40:5146$1920×1080
CETV早期教育,http://113.95.138.226:8888/rtp/239.77.0.180:5146$1920×1080
CETV早期教育,http://113.95.138.226:8888/rtp/239.77.1.122:5146$1920×1080
CETV早期教育,http://113.95.138.226:8888/rtp/239.77.1.114:5146$1920×1080
CGTN,http://113.95.138.226:8888/rtp/239.77.0.199:5146$1920×1080
CGTN,http://113.95.138.226:8888/rtp/239.77.0.45:5146$720×576
