最新上线,#genre#
香港卫视,http://webcast.hkstv.tv/livestream/mutfysrq/playlist.m3u8
香港卫视,https://hkstv.tv/api/m3u8-proxy?url=http%3A%2F%2Fwebcast.hkstv.tv%2Flivestream%2Fmutfysrq%2Fplaylist.m3u8
凤凰中文,http://43.152.224.209/qctv.fengshows.cn/live/0701pcc72.flv
凤凰资讯,http://43.152.224.209/qctv.fengshows.cn/live/0701pin72.flv
凤凰香港,http://43.152.224.209/qctv.fengshows.cn/live/0701phk72.flv
凤凰中文,http://221.7.175.154:85/tsfile/live/1020_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰资讯,http://221.7.175.154:85/tsfile/live/1021_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰电影,http://221.7.175.154:85/tsfile/live/1022_1.m3u8?key=txiptv&playlive=1&authid=0
NOW星影台,http://173.208.234.146/live/nowxy.m3u8
NOW爆谷台,http://173.208.234.146/live/nowbg.m3u8
凤凰中文,http://j.s.bkpcp.top/js/fhzw
凤凰中文,http://t.061899.xyz/tl/js/js.php?id=fhwszwt
凤凰中文,http://8.138.7.223/tv/fengshows.php?id=fhzw
凤凰资讯,http://8.138.7.223/tv/fengshows.php?id=fhzx
凤凰香港,http://8.138.7.223/tv/fengshows.php?id=fhhk
凤凰中文,http://go.bkpcp.top/mg/fhzw
凤凰资讯,http://go.bkpcp.top/mg/fhzx
凤凰香港,http://go.bkpcp.top/mg/fhhk
凤凰中文,http://120.234.44.98:18180/TV00000000000000000008@HHZT
凤凰资讯,http://120.234.44.98:18180/TV00000000000000000009@HHZT
凤凰香港,http://120.234.44.98:18180/TV00000000000000000024@HHZT
翡翠台,http://120.234.44.98:18180/TV00000000000000000032@HHZT
明珠台,http://120.234.44.98:18180/TV00000000000000000035@HHZT
无线新闻台,http://120.234.44.98:18180/TV00000000000000000034@HHZT
有线新闻台,http://120.234.44.98:18180/TV00000000000000000088@HHZT
viutv,http://120.234.44.98:18180/TV00000000000000000037@HHZT
viutv6,http://120.234.44.98:18180/TV00000000000000000084@HHZT
HOY77,http://120.234.44.98:18180/TV00000000000000000036@HHZT
HOY78,http://120.234.44.98:18180/TV00000000000000000078@HHZT
Viutv,http://120.234.44.98:18180/TV00000000000000000037@HHZT
RHK31,http://120.234.44.98:18180/TV00000000000000000019@HHZT
RHK32,http://120.234.44.98:18180/TV00000000000000000017@HHZT
RHK35,http://120.234.44.98:18180/TV00000000000000000045@HHZT
凤凰中文,http://221.7.175.154:85/tsfile/live/1020_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰资讯,http://221.7.175.154:85/tsfile/live/1021_1.m3u8?key=txiptv&playlive=1&authid=0
面包台,https://video.bread-tv.com:8091/hls-live24/online/index.m3u8
CN卡通,http://23.237.104.106:8080/USA_CARTOON_NETWORK/tracks-v1a1/mono.m3u8
HBO王牌,http://23.237.104.106:8080/USA_HBO_ZONE/tracks-v1a1/mono.m3u8
CINEMAX,http://23.237.104.106:8080/USA_CINEMAX/tracks-v1a1/mono.m3u8
CINEMAX精选,http://23.237.104.106:8080/USA_MOREMAX/mono.m3u8
CINEMAX经典,http://23.237.104.106:8080/USA_5STARMAX/tracks-v1a1/mono.m3u8
MTV,http://23.237.104.106:8080/USA_MTV/index.m3u8
香港C+频道,http://ottproxy2.ist.ooo/livehls/MOB-U1-NO/03.m3u8
环球电视频道,http://utv1.hqtvzb.com:9999/hls/world.m3u8
翡翠台,https://cdn.qd.je/163189/jade
五星体育,https://cdn.qd.je/163189/wxty
凤凰香港,https://cdn.qd.je/163189/fhhk
凤凰中文,https://cdn.qd.je/163189/fhzw
凤凰资讯,https://cdn.qd.je/163189/fhzx
明珠台,https://cdn.qd.je/163189.php?id=mzt
千禧经典台,https://cdn.qd.je/163189.php?id=tvb
Astro欢喜台,https://cdn.qd.je/163189.php?id=hxt
CH5,https://cdn.qd.je/163189.php?id=ch5
CH8,https://cdn.qd.je/163189.php?id=ch8
CHU,https://cdn.qd.je/163189.php?id=chu
HOY76,https://cdn.qd.je/163189.php?id=hoy76
HOY77,https://cdn.qd.je/163189.php?id=hoy
HOY78,https://cdn.qd.je/163189.php?id=hoy78
NOW新闻台,https://cdn.qd.je/163189.php?id=now
RTHK-31,https://cdn.qd.je/163189.php?id=rthk31
RTHK-32,https://cdn.qd.je/163189.php?id=rthk32
RTHK-33,https://cdn.qd.je/163189.php?id=rthk33
TVB DRAMA,https://cdn.qd.je/163189.php?id=tvbd
TVB Plus,https://cdn.qd.je/163189.php?id=tvbp
TVB星河,https://cdn.qd.je/163189.php?id=tvbxh
TVB娱乐新闻台,https://cdn.qd.je/163189.php?id=ylxw
翡翠台,https://cdn.qd.je/163189.php?id=fct
天映经典,https://cdn.qd.je/163189.php?id=ccm
天映频道,https://cdn.qd.je/163189.php?id=typd
无线新闻,https://cdn.qd.je/163189.php?id=wxxw
VIUTV,https://cdn.qd.je/163189.php?id=viu
VIUTV6,https://cdn.qd.je/163189.php?id=viu6
八度空间,https://cdn.qd.je/163189.php?id=8tv
东森电影,https://cdn.qd.je/163189.php?id=dsdy
东森戏剧,https://cdn.qd.je/163189.php?id=dsxj
东森洋片,https://cdn.qd.je/163189.php?id=dsyp
功夫台,https://cdn.qd.je/163189.php?id=yzwx
金光布袋戲,https://cdn.qd.je/163189.php?id=jgbdx
龍華電影,http://cdn.qd.je/163189.php?id=lhdy
龍華經典,https://cdn.qd.je/163189.php?id=lhjd
龍華偶像,http://cdn.qd.je/163189.php?id=lhox
龍華日韓,https://cdn.qd.je/163189.php?id=lhrh



央视卫视,#genre#
CCTV-1综合,http://yftv-wshls.homecdn.com/live/4387.flv
CCTV-2财经,http://yftv-wshls.homecdn.com/live/11ecc.flv
CCTV-3综艺,http://yftv-wshls.homecdn.com/live/11ef4.flv
CCTV-4中文国际,http://yftv-wshls.homecdn.com/live/11ef0.flv
CCTV-5体育,http://yftv-wshls.homecdn.com/live/11eec.flv
CCTV-6电影,http://yftv-wshls.homecdn.com/live/11ee8.flv
CCTV-8电视剧,http://yftv-wshls.homecdn.com/live/11ee0.flv
CCTV-13新闻,http://yftv-wshls.homecdn.com/live/4e2f.flv
东方卫视,http://yftv-wshls.homecdn.com/live/1bd7d.flv
山东卫视,http://yftv-wshls.homecdn.com/live/1bd5d.flv
江苏卫视,http://yftv-wshls.homecdn.com/live/1bd81.flv
浙江卫视,http://yftv-wshls.homecdn.com/live/1bd75.flv
广东卫视,http://yftv-wshls.homecdn.com/live/1bd69.flv
深圳卫视,http://yftv-wshls.homecdn.com/live/1bd61.flv
CCTV-1综合,http://198.204.228.26/live/cctv1hd.m3u8
CCTV-2财经,http://198.204.228.26/live/cctv2hd.m3u8
CCTV-3综艺,http://198.204.228.26/live/cctv3hd.m3u8
CCTV-4中文国际,http://198.204.228.26/live/cctv4hd.m3u8
CCTV-5+体育赛事,http://198.204.228.26/live/cctv5p.m3u8
CCTV-6电影,http://198.204.228.26/live/cctv6hd.m3u8
CCTV-7国防军事,http://198.204.228.26/live/cctv7hd.m3u8
CCTV-8电视剧,http://198.204.228.26/live/cctv8hd.m3u8
CCTV-9纪录,http://198.204.228.26/live/cctv9hd.m3u8
CCTV-10科教,http://198.204.228.26/live/cctv10hd.m3u8
CCTV-11戏曲,http://198.204.228.26/live/cctv11hd.m3u8
CCTV-12社会与法,http://198.204.228.26/live/cctv12hd.m3u8
CCTV-13新闻,http://198.204.228.26/live/cctv13hd.m3u8
CCTV-14少儿,http://198.204.228.26/live/cctv14hd.m3u8
CCTV-15音乐,http://198.204.228.26/live/cctv15hd.m3u8
CCTV-16奥林匹克,http://198.204.228.26/live/cctv16hd.m3u8
CCTV-17农业农村,http://198.204.228.26/live/cctv17hd.m3u8
北京卫视,http://198.204.228.26/live/bjwshd.m3u8
广东卫视,http://198.204.228.26/live/gdwshd.m3u8
天津卫视,http://198.204.228.26/live/tjwshd.m3u8
河北卫视,http://198.204.228.26/live/hebws.m3u8
山西卫视,http://198.204.228.26/live/sxwshd.m3u8
内蒙古卫视,http://198.204.228.26/live/nmgws.m3u8
辽宁卫视,http://198.204.228.26/live/lnwshd.m3u8
吉林卫视,http://198.204.228.26/live/jlwshd.m3u8
黑龙江卫视,http://198.204.228.26/live/hljwshd.m3u8
东方卫视,http://198.204.228.26/live/dfwshd.m3u8
江苏卫视,http://198.204.228.26/live/jswshd.m3u8
浙江卫视,http://198.204.228.26/live/zjwshd.m3u8
安徽卫视,http://198.204.228.26/live/ahwshd.m3u8
东南卫视,http://198.204.228.26/live/dnwshd.m3u8
江西卫视,http://198.204.228.26/live/jxwshd.m3u8
山东卫视,http://198.204.228.26/live/sdwshd.m3u8
湖南卫视,http://198.204.228.26/live/hnwshd.m3u8
